A|A|113|20230201|20230228|20230309|999|SISTEMA SAC         
A|B|074|000|PE|PC|II|EC|EI|SC|SI
E|C|074|000|20230224|20230222|NFE |147|016405|P|00000113|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000002|0000000120490|0000000000000|0000000000000|0000000000000|       |F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|04511     |1102  |500|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000001100|      |CM|001|F|55|23022023|08022023|34196|00000000000|00000000000|6
E|I|04076     |1102  |500|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000001100|      |CM|001|F|55|23022023|08022023|34196|00000000000|00000000000|6
E|I|02793     |1102  |500|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000001100|      |CM|001|F|55|23022023|08022023|34196|00000000000|00000000000|6
E|I|03068     |1403  |260|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000018120|      |CM|001|F|55|23022023|08022023|34196|00000000000|00000000000|6
E|I|02200     |1403  |260|0000000005000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000076800|      |CM|001|F|55|23022023|08022023|34196|00000000000|00000000000|6
E|C|074|000|20230208|20230207|NFE |207|040936|P|00000055|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000002|0000000189520|0000000000000|0000000000000|0000000000000|       |F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|05027     |1102  |060|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000006440|0000000000000|0000000006440|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|I|03577     |1102  |060|0000000003000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000019320|0000000000000|0000000019320|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|I|03010     |1102  |060|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000009430|0000000000000|0000000009430|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
E|I|04230     |1102  |060|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000007130|0000000000000|0000000007130|      |CM|001|F|55|23022023|08022023|40936|00000000000|00000000000|207
